Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Dar Rahma,Acceptable,25.2031,56.293791,Fujairah,909,46154,41595,42770,43242,40831,45324,"Infectious Diseases; Nephrology (Kidney care); Dental and Oral Surgery; Obstetrics and Gynecology (OB/GYN); Ophthalmology (Eye care); Cardiology; Psychiatry and Mental Health; Radiology; Gastroenterology (Digestive system); Orthopedics; Ear, Nose, and Throat (ENT) / Otolaryngology; Physiotherapy and Rehabilitation; Intensive Care Unit (ICU)",160.46,170.06,186.5,201.28,218.74,233.02,161.26,147.11,174.88,194.53,238.39,337.56,1373,1341,1463,1554,1756,1934,231,2310,1522,788,Follow-up care; Good communication; Fast service,Dirty; Crowded; Disorganized; Overpriced
Al Dar Rahma,Very Good,25.396293,56.299305,Fujairah,94,44680,44522,40638,40029,36200,32620,Neurology; Endocrinology (Hormonal disorders); Anesthesiology; Dental and Oral Surgery; Urology; Ophthalmology (Eye care); Pulmonology (Respiratory care); Psychiatry and Mental Health,83.8,90.1,87.54,94.05,95.29,103.54,68.21,123.88,90.96,131.47,77.75,138.5,2224,2687,2978,3528,3293,2967,205,2870,1843,1027,Clean environment; Advanced equipment; Recommended,Unhygienic
Mustashfa Saada,Bad,25.491765,56.175219,Fujairah,444,71935,76533,79330,88014,99351,110683,Orthopedics; Urology; Internal Medicine; Obstetrics and Gynecology (OB/GYN); Pediatrics; Gastroenterology (Digestive system); Cardiology; Dental and Oral Surgery; Ophthalmology (Eye care); Pathology and Laboratory Services; Physiotherapy and Rehabilitation,135.61,143.65,145.14,142.17,151.72,146.7,170.75,206.99,154.42,201.2,177.34,153.6,2248,2270,2049,2552,2336,2630,339,10509,5664,4845,Fast service,Delayed treatment; Indifferent
Hayat Khaleej Modern,Acceptable,25.26371,55.773378,Sharjah,880,88451,94136,105975,115894,122924,138382,"Oncology (Cancer treatment); Ear, Nose, and Throat (ENT) / Otolaryngology; Ophthalmology (Eye care); Endocrinology (Hormonal disorders); Pediatrics; General Surgery; Cardiology; Dermatology; Internal Medicine",148.82,157.24,156.27,149.69,149.5,156.17,220.49,231.4,221.54,149.44,167.8,154.02,578,632,656,589,712,827,223,4237,2035,2202,Clean environment; Respectful; Clean; Caring; Respect,Negligent; Slow; Overpriced; Overcrowded
Specialty Care City,Very Bad,25.264781,55.759347,Sharjah,453,29114,29477,31417,30504,35032,32424,Dermatology; Intensive Care Unit (ICU); Obstetrics and Gynecology (OB/GYN); Radiology; Dental and Oral Surgery; Pediatrics; Orthopedics; Ophthalmology (Eye care); Cardiology; Nephrology (Kidney care),186.77,187.6,201.94,192.2,183.25,193.54,227.65,223.38,298.38,188.38,178.96,272.88,1280,1354,1210,1184,1460,1279,172,9288,3710,5578,Professionalism,Stressed; Inconsiderate; Bad experience; Long wait; Noisy
Al Noor Clinic,Very Good,25.488733,55.595562,Umm Al Quwain,271,58872,67277,73463,73073,80768,91105,Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); Pathology and Laboratory Services; Intensive Care Unit (ICU); Emergency Medicine; Ophthalmology (Eye care); Dermatology; Endocrinology (Hormonal disorders); Urology; Pediatrics,175.84,174.7,190.56,208.69,221.73,228.65,203.65,146.87,222.5,189.53,240.1,192.82,1558,1896,2249,2675,2437,2465,381,27813,15666,12147,Modern; Patient; Courteous,Not recommended
Dar Hayat,Very Good,25.468367,55.544761,Umm Al Quwain,21,40625,38044,36831,37981,35536,39254,"General Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; Cardiology; Intensive Care Unit (ICU); Dental and Oral Surgery",119.5,123.67,126.26,131.42,143.3,153.77,162.06,125.6,135.88,177.66,126.16,209.21,988,926,1043,1183,1049,1248,520,13520,4374,9146,Respect; Compassionate,Incompetent
Saada Medical Center,Bad,25.400753,55.507018,Ajman,117,39067,40638,37223,39888,45774,48417,Physiotherapy and Rehabilitation; Intensive Care Unit (ICU); Dermatology; Orthopedics; Pulmonology (Respiratory care); Nephrology (Kidney care),70.13,67.69,69.07,75.09,71.73,77.58,87.46,61.74,60.23,80.43,90.36,75.19,2204,1934,1950,1901,1624,1942,405,24705,13275,11430,Gentle,Not responsive; Poor service; Crowded; Inattentive; Indifferent
Hayat Amal Khaleej,Very Good,25.234224,55.43603,Sharjah,927,61972,61019,61152,64346,64121,71499,Pediatrics; Pathology and Laboratory Services; Psychiatry and Mental Health; Obstetrics and Gynecology (OB/GYN); Neurology; Oncology (Cancer treatment); Internal Medicine; Dental and Oral Surgery; Intensive Care Unit (ICU); Nephrology (Kidney care); Dermatology; General Surgery; Urology,42.4,45.83,49.29,51.69,54.54,57.22,37.73,47.83,54.97,60.17,61.6,64.17,805,878,862,1015,869,992,919,18380,5043,13337,Well-equipped; Great staff; Quick response; Respectful,Painful
Hayat Amal Polyclinic,Very Bad,25.48655,55.583596,Sharjah,474,90899,84683,83427,83667,81101,79841,Physiotherapy and Rehabilitation; Neurology; Psychiatry and Mental Health; Endocrinology (Hormonal disorders); Urology; Orthopedics,32.23,33.1,35.3,34.08,37.05,40.58,44.79,32.75,35.78,44.27,51.99,49.27,1332,1380,1298,1254,1102,1196,775,42625,12397,30228,Knowledgeable; Efficient,Bad experience; Mismanaged; Slow
Wahat Shifa,Bad,25.498805,55.773004,Umm Al Quwain,130,75350,75872,77776,80562,80532,90138,"Pulmonology (Respiratory care); General Surgery; Physiotherapy and Rehabilitation; Ophthalmology (Eye care); Obstetrics and Gynecology (OB/GYN); Pathology and Laboratory Services; Urology; Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Cardiology",116.94,115.69,116.28,122.61,117.8,118.22,133.09,117.74,168.52,159.27,108.24,114.93,410,396,344,358,386,423,600,46200,16661,29539,Efficient,Long wait; Unorganized; Delayed treatment; Painful; Dirty toilets
Markaz Saada Hilal,Bad,24.959296,55.185459,Dubai,493,91188,104047,118410,119610,111015,109653,Neurology; Orthopedics; Pathology and Laboratory Services; Endocrinology (Hormonal disorders); Dental and Oral Surgery,142.75,146.79,142.51,147.68,153.53,150.35,146.11,164.87,195.59,152.12,228.25,133.38,4190,3759,4670,4903,5200,5964,922,49788,33743,16045,Comforting,Inconsiderate; Not recommended; Bad experience
Wahat Hayat,Good,25.007325,55.206729,Dubai,41,58107,56074,63430,58044,64444,68247,Infectious Diseases; Physiotherapy and Rehabilitation; Radiology; Intensive Care Unit (ICU); Dermatology; General Surgery; Psychiatry and Mental Health,39.25,38.33,39.58,41.87,40.65,41.82,44.63,49.29,55.24,36.91,54.58,57.12,1703,1493,1819,1913,1953,2129,114,3990,2411,1579,Excellent; Clean,Negligent; Billing issues
Al Hayat Saada,Acceptable,24.855115,55.307871,Dubai,366,92821,103238,102876,106656,113725,122909,General Surgery; Ophthalmology (Eye care); Orthopedics; Internal Medicine; Pediatrics; Dermatology; Obstetrics and Gynecology (OB/GYN); Infectious Diseases; Pulmonology (Respiratory care),150.29,151.15,164.98,167.81,176.55,183.52,131.16,129.17,192.14,191.66,177.17,233.93,2082,2518,2237,2261,2348,2261,371,2597,1418,1179,Well-equipped; Kind; Timely care; Calm,Chaotic; Frustrating; Unavailable doctors; Poor service; Miscommunication
Hikma Specialist Hospital,Very Bad,25.395525,56.183102,Fujairah,491,17320,16823,16571,17411,16265,16224,Urology; General Surgery; Internal Medicine; Obstetrics and Gynecology (OB/GYN); Nephrology (Kidney care),174.58,176.36,170.39,164.16,178.49,183.74,240.59,175.03,218.73,241.2,225.15,221.2,641,575,641,563,617,658,399,33117,13318,19799,Good bedside manner,Chaotic; Unsafe; Disrespectful; Not responsive
Ilaj Diagnostic Center,Acceptable,25.766128,55.9911,Ras Al Khaimah,716,4685,4599,4734,4758,4638,4555,"Internal Medicine; Cardiology; Nephrology (Kidney care); Physiotherapy and Rehabilitation; Pulmonology (Respiratory care); Anesthesiology; Intensive Care Unit (ICU); Oncology (Cancer treatment); Emergency Medicine; Obstetrics and Gynecology (OB/GYN); Orthopedics; Dermatology; General Surgery; Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology",96.69,103.71,111.66,109.03,113.35,111.31,110.41,98.22,151.55,103.99,127.33,115.37,19,22,22,21,24,28,86,5934,1759,4175,Modern; Friendly; Painless,Inattentive; Not responsive; Painful
Saada Polyclinic,Bad,24.978567,55.174944,Dubai,919,15926,16613,17379,15800,17344,19022,Neurology; Dental and Oral Surgery; Anesthesiology; Pulmonology (Respiratory care); General Surgery,179.67,174.6,182.46,185.58,200.45,199.33,152.46,250.43,150.56,249.52,229.67,186.62,581,621,672,651,613,645,572,8580,3310,5270,Attentive,Noisy; No communication; Poor service; Frustrating
Pediatric Hospital Emirates,Very Good,25.615475,55.901127,Ras Al Khaimah,701,90937,101973,107777,122635,136874,134899,Radiology; Dental and Oral Surgery; Gastroenterology (Digestive system); Anesthesiology; Emergency Medicine; Endocrinology (Hormonal disorders),30.6,30.09,31.01,33.06,33.58,36.8,26.79,30.3,32.52,40.89,34.06,32.32,915,1105,1183,1398,1282,1145,71,6887,4074,2813,Quick response; Calm; Trustworthy; Friendly; Skilled,Dirty
Al Burj Noor Polyclinic,Very Bad,23.676626,52.875094,Abu Dhabi,320,18982,18267,17078,17664,16825,17169,Oncology (Cancer treatment); Endocrinology (Hormonal disorders); Urology; Intensive Care Unit (ICU); Dermatology; Emergency Medicine; Infectious Diseases; Obstetrics and Gynecology (OB/GYN),165.05,164.18,178.91,185.59,183.44,188.78,173.12,158.76,176.24,190.5,219.89,233.3,666,607,654,593,684,640,791,14238,3805,10433,Helpful; Personalized care; Fast service; Kind,Mismanaged; Incompetent; Painful; Slow
Shifa Polyclinic,Good,25.103514,55.729275,Sharjah,488,90067,92023,84906,82497,92060,88557,Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Infectious Diseases; Urology; Internal Medicine; Psychiatry and Mental Health; Radiology,27.91,26.67,29.1,29.92,30.81,33.44,37.05,30.78,43.08,32.13,28.64,39.28,1029,1115,1001,895,995,1232,207,9522,4197,5325,Satisfied; Painless; Gentle,Crowded; Unprofessional; Misdiagnosis; Painful
Afia Polyclinic,Bad,25.377673,55.454245,Ajman,571,93226,85328,97241,103466,93965,86970,Oncology (Cancer treatment); Psychiatry and Mental Health; Anesthesiology; Obstetrics and Gynecology (OB/GYN); Orthopedics; Cardiology; Pathology and Laboratory Services,42.66,46.2,48.52,49.77,53.17,54.21,36.34,38.38,64.68,48.43,52.3,70.89,3195,3005,2843,3395,3922,3731,858,71214,42817,28397,Knowledgeable,Overcrowded; Poor follow-up; Unprofessional; Inconsiderate
Al Markaz Hikma Mustaqbal,Very Good,25.370587,55.413122,Ajman,180,16738,15927,14805,14466,14823,16285,Orthopedics; Cardiology; Gastroenterology (Digestive system); Dental and Oral Surgery; Oncology (Cancer treatment); Neurology; Infectious Diseases; Pulmonology (Respiratory care); Ophthalmology (Eye care),109.94,106.19,114.24,120.52,125.57,135.25,143.41,99.6,120.51,108.57,121.94,202.15,1008,910,945,1139,1271,1523,110,4070,2667,1403,Gentle; Human touch; Great staff; Quick response; Prompt attention,Rude
Dar Shifa,Very Good,24.159281,53.953997,Abu Dhabi,914,14494,13112,14983,13523,14769,14832,"Ear, Nose, and Throat (ENT) / Otolaryngology; Ophthalmology (Eye care); Obstetrics and Gynecology (OB/GYN); Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Emergency Medicine; Nephrology (Kidney care); Dermatology; Intensive Care Unit (ICU); Orthopedics; Pulmonology (Respiratory care); Pathology and Laboratory Services; Endocrinology (Hormonal disorders); Oncology (Cancer treatment)",161.79,159.26,160.7,171.1,175.79,188.59,147.51,194.76,140.51,183.84,251.79,218.75,122,145,168,199,186,188,909,64539,26278,38261,Respectful; Caring,Confusing
Noor Hikma,Very Good,25.398615,56.160988,Fujairah,84,1115,1101,1021,1013,1000,1055,"Neurology; Ear, Nose, and Throat (ENT) / Otolaryngology; Urology; Ophthalmology (Eye care); Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Internal Medicine; Nephrology (Kidney care); Oncology (Cancer treatment); Pediatrics; Psychiatry and Mental Health; Emergency Medicine; Dermatology; Obstetrics and Gynecology (OB/GYN)",31.76,31.98,31.69,32.3,31.08,31,40.86,30.04,43.57,46.16,30.86,28.07,17,15,18,20,20,20,64,3712,2688,1024,Skilled; Clean environment; Well-managed,Negligent
Amal Medical Center,Very Bad,23.230673,54.986438,Abu Dhabi,198,26232,24323,24243,22753,21181,20544,Obstetrics and Gynecology (OB/GYN); Dermatology; Radiology; Physiotherapy and Rehabilitation; Orthopedics; Oncology (Cancer treatment),81.16,85.09,82.34,82.81,86.21,85.22,71.4,94.09,119.71,96.66,117.64,87.16,161,159,148,178,193,174,264,21120,12144,8976,Well-equipped; Friendly; Reassuring; Comforting,Misdiagnosis; Disorganized
Rahma Specialist Hospital,Very Good,25.532351,55.793323,Umm Al Quwain,601,54100,53735,61689,58825,54587,54638,Dental and Oral Surgery; Infectious Diseases; Obstetrics and Gynecology (OB/GYN); Neurology; General Surgery; Pediatrics; Oncology (Cancer treatment); Internal Medicine; Endocrinology (Hormonal disorders); Dermatology; Gastroenterology (Digestive system); Intensive Care Unit (ICU); Orthopedics; Urology; Anesthesiology,174.99,188.27,197.68,205.51,197.62,196.42,174.96,231.7,212.12,277.94,215,176.23,19,18,16,18,21,22,901,56763,42064,14699,Painless; Great staff; Prompt attention; Skilled,Incompetent
Al Ein Hikma Diagnostic Center,Bad,23.741251,54.774537,Abu Dhabi,720,57632,60432,67040,71253,70007,75466,Emergency Medicine; General Surgery; Pediatrics; Intensive Care Unit (ICU); Dental and Oral Surgery; Internal Medicine; Orthopedics,8.54,9.27,9.15,9.56,9.38,9.52,10.82,10.71,13.24,9.07,8.22,13.33,12,12,12,10,8,8,603,31356,22983,8373,Professionalism,Arrogant; Lack of privacy; Frustrating; Cold attitude
Burj Afia Arabi,Very Good,24.801419,55.252175,Dubai,994,88366,88111,80571,88580,87904,84301,Pulmonology (Respiratory care); Dental and Oral Surgery; Pediatrics; Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); General Surgery,27.79,28.16,28.52,27.94,27.54,29.59,40.71,29.68,40.41,34.38,36.16,39.66,3087,3376,2952,3086,2956,3206,164,656,467,189,Follow-up care; Supportive; Knowledgeable; High standards; Accurate diagnosis,Untrustworthy
Saada Clinic,Very Good,25.025678,56.196071,Fujairah,750,21728,20202,19883,20593,20416,19892,"Oncology (Cancer treatment); Pathology and Laboratory Services; Ear, Nose, and Throat (ENT) / Otolaryngology; Internal Medicine; Pulmonology (Respiratory care); Physiotherapy and Rehabilitation; Obstetrics and Gynecology (OB/GYN); Orthopedics; Pediatrics",151.65,165.48,168.98,177.48,189.13,206.35,215.7,230.06,147.61,255.66,225.69,244.14,771,720,776,899,992,931,766,766,226,540,Trustworthy; Organized; Caring,Slow
Family Clinic Emirates,Bad,25.807055,56.026234,Ras Al Khaimah,448,31256,35592,38895,35050,39029,40362,Gastroenterology (Digestive system); Pathology and Laboratory Services; Neurology; Physiotherapy and Rehabilitation; Ophthalmology (Eye care),114.9,122.73,122.82,121.49,125.52,120.99,171.94,129.68,130.21,166.34,149.43,133.02,731,753,819,986,1228,1412,810,35640,15518,20122,Trustworthy; Attentive; Comforting,Unprofessional; Mismanaged
Markaz Afia,Bad,25.184097,55.437689,Sharjah,607,45996,43222,49235,45510,42428,41721,Ophthalmology (Eye care); General Surgery; Internal Medicine; Pulmonology (Respiratory care); Emergency Medicine; Cardiology; Pediatrics; Infectious Diseases; Physiotherapy and Rehabilitation,137.26,143.12,153.18,151.58,160.82,173.39,194.88,123.09,192.26,151.96,212.61,143.22,985,1021,1114,1321,1387,1592,188,14852,5084,9768,Friendly,Dirty; Unavailable doctors
Al Dar Shifa Watani,Very Bad,25.180868,55.529745,Sharjah,483,7130,6488,7193,7318,8307,7574,Internal Medicine; Anesthesiology; Obstetrics and Gynecology (OB/GYN); Pathology and Laboratory Services; Ophthalmology (Eye care); Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Orthopedics; General Surgery; Pulmonology (Respiratory care); Psychiatry and Mental Health; Cardiology; Intensive Care Unit (ICU),187.45,205.04,212.47,221.85,224.79,221.48,223.64,237.08,309.74,274.65,218.74,241.71,101,89,82,71,87,78,655,58950,15156,43794,Skilled; Accurate diagnosis; Respect; Reassuring; Knowledgeable,Overcrowded; Noisy; Mismanaged; Frustrating
Al Afia Mustaqbal,Good,23.348189,54.095815,Abu Dhabi,742,30631,34934,34198,37628,39886,38785,Pulmonology (Respiratory care); Oncology (Cancer treatment); Internal Medicine; Endocrinology (Hormonal disorders); Gastroenterology (Digestive system); Nephrology (Kidney care); Physiotherapy and Rehabilitation; Urology; Dermatology; Emergency Medicine; Psychiatry and Mental Health,17.72,18.01,19.62,19.15,20.1,20.51,24.75,23.07,27.16,28.14,16.09,25.39,243,214,204,246,228,282,924,54516,34414,20102,Reassuring; Accurate diagnosis,Confusing; Hidden charges; Painful
Al Afia,Very Good,23.987687,51.794128,Abu Dhabi,427,16751,16586,17138,19051,17446,16763,Orthopedics; Radiology; Urology; Dermatology; Pulmonology (Respiratory care),114.43,118.77,130.19,137.69,139.7,139.96,107.08,158.92,113.6,154.74,175.15,191.95,831,826,704,756,777,756,171,10944,8157,2787,Quick response; Satisfied,Negligent; Billing issues; Indifferent; Disrespectful; Misdiagnosis
Hayat Polyclinic,Acceptable,25.114052,55.830287,Sharjah,911,16662,17392,16238,17739,18660,20674,"Infectious Diseases; Pulmonology (Respiratory care); Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Orthopedics; Dental and Oral Surgery; Internal Medicine",126.31,121,125.32,120.34,124.12,130.6,132.44,130.45,167.24,135.76,158.41,115.34,1600,1760,2116,2218,2768,3063,936,92664,68675,23989,Human touch; Skilled; Prompt attention,Incompetent; Poor follow-up
Noor Medical Center,Very Bad,25.360097,55.526134,Ajman,179,87746,91295,88271,86843,82436,80749,Internal Medicine; Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); Neurology; Dental and Oral Surgery; Dermatology; Gastroenterology (Digestive system); Cardiology; Physiotherapy and Rehabilitation; Pediatrics; Radiology; Pathology and Laboratory Services,162.84,177.69,168.96,162.73,161.23,176.55,149.54,167.26,180.2,169.81,161.18,259.79,1195,1405,1680,1598,1551,1883,701,44864,16582,28282,Painless; Modern; Thorough; Reassuring,Disorganized; Noisy; Understaffed; Unprofessional
Al Hayat Medical Center,Good,25.531296,55.76948,Umm Al Quwain,923,54149,61243,65645,73607,82608,94717,"Dental and Oral Surgery; Dermatology; Obstetrics and Gynecology (OB/GYN); Orthopedics; Gastroenterology (Digestive system); Ear, Nose, and Throat (ENT) / Otolaryngology; Intensive Care Unit (ICU); Cardiology; Physiotherapy and Rehabilitation; Internal Medicine; Anesthesiology; Ophthalmology (Eye care); Nephrology (Kidney care); Pulmonology (Respiratory care); Urology",187.31,194.32,201.77,193.25,194.8,203.18,158.83,202.41,247.05,256.41,231.52,166.8,1891,1628,1533,1620,2007,1880,401,30476,21202,9274,Organized; Trustworthy; Well-managed; Supportive; Calm,No empathy
Al Noor Salam,Bad,25.495084,55.544796,Umm Al Quwain,154,99333,92262,91029,85778,81905,82110,"Obstetrics and Gynecology (OB/GYN); Intensive Care Unit (ICU); Gastroenterology (Digestive system); Infectious Diseases; Neurology; Endocrinology (Hormonal disorders); Ophthalmology (Eye care); Urology; Dermatology; General Surgery; Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Oncology (Cancer treatment); Pulmonology (Respiratory care)",16.02,17.38,17.85,18.96,19.76,20.66,21.51,24.68,22.83,24.52,20.49,21.97,3214,2884,3501,4309,3877,4701,373,4476,1899,2577,Follow-up care,Rude; Negligent
Al Hayat Shifa Khaleej,Acceptable,25.246394,55.665349,Sharjah,359,58490,57956,52722,53647,58887,67096,Cardiology; Infectious Diseases; Orthopedics; Radiology; Dermatology; Gastroenterology (Digestive system); Pediatrics; Dental and Oral Surgery; Oncology (Cancer treatment),98.64,103.51,98.62,101.32,108.36,106.4,80.08,90.59,120.81,88.72,130.86,106.13,2342,2186,2256,2655,3253,3993,574,8036,3646,4390,Attentive; Gentle,Mismanaged; Dirty toilets; Outdated equipment; Ignored; Painful
Dental Clinic Community,Good,25.390992,55.481838,Ajman,577,61989,69980,70765,64444,66611,70150,Infectious Diseases; Dermatology; General Surgery; Radiology; Endocrinology (Hormonal disorders); Pulmonology (Respiratory care); Pediatrics; Orthopedics; Internal Medicine; Dental and Oral Surgery; Anesthesiology,74.78,78.72,80.6,86.88,88.14,89.14,67.46,91.99,80.16,90.49,103.5,125.88,2634,2487,2902,2767,3119,2962,231,3927,2641,1286,Kind; No delays; Satisfied; Comforting,Unsafe
Al Ilaj Clinic,Very Bad,25.556691,55.745868,Umm Al Quwain,334,97664,89403,84968,78542,82255,75271,Radiology; Endocrinology (Hormonal disorders); Internal Medicine; Dermatology; Intensive Care Unit (ICU); Gastroenterology (Digestive system); Psychiatry and Mental Health,16.02,17.58,17.8,18.18,19.75,19.26,21.19,17.83,21,18.49,28.44,28.39,1033,1163,1172,1367,1450,1431,623,6230,3253,2977,Advanced equipment; Personalized care; Helpful; Quick response,Unprofessional; Rude; Painful
Mustashfa Amal Arabi,Very Bad,22.870508,53.199304,Abu Dhabi,354,14833,14980,15749,16223,17415,18387,"Cardiology; Pulmonology (Respiratory care); Ear, Nose, and Throat (ENT) / Otolaryngology; Pediatrics; Dental and Oral Surgery; Anesthesiology; Psychiatry and Mental Health; Endocrinology (Hormonal disorders); Nephrology (Kidney care); Oncology (Cancer treatment); Neurology; Gastroenterology (Digestive system)",170.12,180.47,174.33,181.56,185.37,187.11,156.92,241.75,211.88,250.46,167.87,227.72,993,1125,1262,1355,1665,2044,651,61845,35952,25893,Modern,Negligent; Unsafe; Hidden charges
Noor Dowaly Al Sihi,Acceptable,24.834693,55.145311,Dubai,576,78046,80270,82082,81946,92309,105151,Oncology (Cancer treatment); Ophthalmology (Eye care); Dermatology; Psychiatry and Mental Health; Dental and Oral Surgery; Internal Medicine; Radiology; Endocrinology (Hormonal disorders); Nephrology (Kidney care),27.96,26.62,28.28,27.01,28.74,27.8,25.96,25.78,24.77,25.33,38.15,39.29,4414,5252,4940,5692,4911,4238,52,2548,647,1901,Gentle; Trustworthy; Patient; Well-managed; Calm,Untrustworthy; Dirty; Disrespectful
Al Dar Hayat Takhassusi,Bad,25.15693,55.819536,Sharjah,942,30085,30126,27147,29552,29912,33926,Endocrinology (Hormonal disorders); Psychiatry and Mental Health; Dermatology; Anesthesiology; Orthopedics; Gastroenterology (Digestive system); Internal Medicine; Ophthalmology (Eye care); Obstetrics and Gynecology (OB/GYN); General Surgery; Physiotherapy and Rehabilitation,180.65,180.93,197.77,215.86,227.43,245.62,263.71,252.87,238,270.26,264.75,335.52,2064,2299,2056,1801,2237,2427,937,30921,8394,22527,Clean rooms; Courteous,Inattentive; Dirty toilets; Insensitive; Unorganized
Al Salam,Very Bad,25.356217,55.464072,Ajman,620,72571,72587,74201,77614,83660,90768,Psychiatry and Mental Health; Cardiology; Orthopedics; Gastroenterology (Digestive system); Ophthalmology (Eye care); Infectious Diseases; Endocrinology (Hormonal disorders); General Surgery,46.39,50.39,51.85,55.88,56.27,59.9,56.1,47.18,44.86,70.12,46.36,51.75,2189,2420,2802,2462,2584,2477,497,44233,28373,15860,Good bedside manner,Unsafe; Unavailable doctors
Al Hayat Amal Khaleej,Bad,24.310364,55.240482,Abu Dhabi,352,24831,25879,28351,31841,32661,36785,"Pediatrics; Infectious Diseases; Anesthesiology; Internal Medicine; Ear, Nose, and Throat (ENT) / Otolaryngology; Neurology; Endocrinology (Hormonal disorders); Ophthalmology (Eye care); Oncology (Cancer treatment); Cardiology; General Surgery; Pathology and Laboratory Services",111.74,122.74,129.39,133.11,139.2,135.92,127.27,172.53,174.69,132.73,119.01,172.42,1306,1377,1711,1615,1561,1686,103,8652,4622,4030,Prompt attention,No communication; Lack of privacy; Negligent; No explanation
Al Dar Saada Specialist Hospital,Bad,25.561676,55.539917,Umm Al Quwain,610,31128,32516,35400,37674,42498,46431,Cardiology; General Surgery; Gastroenterology (Digestive system); Intensive Care Unit (ICU); Urology; Dermatology; Nephrology (Kidney care),68.82,70.84,70.73,71.48,74.71,75.55,55.3,80.38,91.79,97.57,81.53,69.59,4457,3983,4932,5322,5928,5906,516,33540,17852,15688,Knowledgeable; No delays; Clean; Positive experience,Arrogant; Not responsive; Indifferent; Mismanaged
Specialty Hospital City,Very Bad,24.818907,55.25314,Dubai,680,75021,74673,82638,75315,70529,79713,Pulmonology (Respiratory care); Emergency Medicine; Pathology and Laboratory Services; Intensive Care Unit (ICU); Orthopedics; Urology; Internal Medicine,57.11,62.04,61.01,64.99,70.39,74.52,56.21,92.54,72.23,62.77,85.36,99.66,2221,1927,1639,1438,1455,1707,872,17440,9470,7970,Kind; Caring; Personalized care; Modern,Disrespectful; Mismanaged; Ignored; Incompetent; Unhygienic
Mustashfa Hayat Specialist Hospital,Acceptable,25.495636,55.666921,Umm Al Quwain,838,8120,7996,7674,7383,7562,8316,"Urology; Pediatrics; Nephrology (Kidney care); Radiology; Gastroenterology (Digestive system); Oncology (Cancer treatment); Emergency Medicine; Ophthalmology (Eye care); Physiotherapy and Rehabilitation; Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Pulmonology (Respiratory care); Internal Medicine; Dental and Oral Surgery; Neurology",182.58,191.74,209.09,222.82,219.72,228.73,232.92,162.63,310.84,291.78,176.94,234.65,76,86,88,95,86,82,491,48609,31699,16910,Gentle; Efficient; Organized; Knowledgeable,Understaffed; Disorganized; Indifferent; Painful
Al Saada Clinic,Acceptable,25.205936,55.841674,Sharjah,275,48476,46380,49770,55282,50458,52816,Orthopedics; Dental and Oral Surgery; General Surgery; Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); Pathology and Laboratory Services; Psychiatry and Mental Health,133.23,138.06,144.47,145.96,146.53,154.97,185.95,167.53,171.95,134.23,169.24,231.79,3296,3032,2660,2859,2566,2699,140,10920,3236,7684,Professional; Excellent; Safe; Timely care,Dirty; Delayed treatment
Afia Clinic,Bad,25.251063,55.712775,Sharjah,893,31598,29887,32425,35630,32822,34756,Dental and Oral Surgery; Emergency Medicine; Oncology (Cancer treatment); Anesthesiology; Urology; Radiology; Pediatrics; Psychiatry and Mental Health; Infectious Diseases; Orthopedics; General Surgery; Cardiology; Endocrinology (Hormonal disorders); Ophthalmology (Eye care),169,173.26,186.83,191.16,207.11,204.04,201.65,229.93,250.45,198.94,292.95,223.87,1032,1203,1201,1335,1137,1258,482,36150,28467,7683,Organized,Incompetent; Ignored; Disrespectful; Inconsiderate; Chaotic
